position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
3617,4875,"""4875"",",Sacrificial Dan XP4490,467,2720,4490,10,1,0x296ecbbea7df97b1def2996bc2d727bad8515bb2,0x296ecbbea7df97b1def2996bc2d727bad8515bb2,3,0
3618,11393,"""11393"",",RARIBLEFRENS,490,2711,4310,10,2,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
3619,18513,"""18513"",",Professor XP,522,2767,4300,10,2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,3,0
3620,15397,"""15397"",",Bobbele,457,2711,4145,10,2,0xa7f1c77998bae58614be010ad2a806639e280056,0xa7f1c77998bae58614be010ad2a806639e280056,3,0
3621,18064,"""18064"",",ORANGE PEEL,602,2711,3735,9,2,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,0xa9465d03ba38726277b3e478ac98aa063a0c8d0a,3,0
3622,6695,"""6695"",",Louis,679,2711,2800,8,1,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,0x34ec9c1d89ce8afa701d079fd908fca95f49667a,3,0
3623,22125,"""22125"",",GFA_BITCOINER,515,2711,2585,8,2,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,0xfec90ee4a1ea9ccff0d1971c61fe5a4488594a58,3,0
3624,8145,"""8145"",",Fairy,525,2804,2370,7,1,0x634610df83f3d09050530f66146964cf8755aa5a,0x634610df83f3d09050530f66146964cf8755aa5a,3,0
3625,19995,"""19995"",",Odysseus,559,2711,1880,7,2,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,0xffea5a2cfaf1aafbb87a1fe4eed5413da45c30a0,3,0
3626,5134,"""5134"",",og link marine,502,2710,4965,10,1,0xa7f1c77998bae58614be010ad2a806639e280056,0xa7f1c77998bae58614be010ad2a806639e280056,3,0
3627,20391,"""20391"",",Interlocutor,573,2716,3580,9,2,0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,0x1a760e3a431c8b9c075ed1280c8835a1a0f1651b,3,0
3628,3788,"""3788"",",Albus Dambledore,672,2803,2985,8,1,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,3,0
3629,1575,"""1575"",",Tom34,503,2803,2890,8,1,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,0xd757f002d43dcb8db9a4e43a8350aa8cccdc4e4f,3,0
3630,20577,"""20577"",",rside,532,2710,2890,8,2,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,0x2b29518e5ac3eda4cfc138facd6f023bffc5d65a,3,0
3631,2436,"""2436"",",Tatcher,526,2710,2560,8,1,0x063d6360bafe1981578e8b359c8176f359e23c26,0x063d6360bafe1981578e8b359c8176f359e23c26,3,0
