position,gotchiID,formattedTokenID,name,withSetsRarityScore,kinship,experience,level,hauntId,owner,originalOwner,status,stakedAmount
5330,24080,"""24080"",",GogoGotchi,541,1578,25620,23,2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,3,0
5331,11123,"""11123"",",PURPLE GOTCHI,541,1559,2445,7,2,0xdf631777df4debcbcd647e85bdcb868b43663ba0,0xdf631777df4debcbcd647e85bdcb868b43663ba0,3,0
5332,5101,"""5101"",",Aave Got This,541,1492,1250,6,1,0x288a2395f027f65684d836754ba43afa20ca09e6,0x288a2395f027f65684d836754ba43afa20ca09e6,3,0
5333,24686,"""24686"",",Coder Dan Ex Girl friend,541,1575,1035,5,2,0x80e10bd2ca0ebbd0a55c9c3b8d257c09f7fe953b,0x80e10bd2ca0ebbd0a55c9c3b8d257c09f7fe953b,3,0
5334,2891,"""2891"",",RAREGOTHCI,541,1546,155,2,1,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,3,0
5335,2093,"""2093"",",CAPDAIN,541,1517,200,3,1,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,0xc5592b6e87cd2195bb65a73aaa9f83b158578fa1,3,0
5336,12388,"""12388"",",Mari Gotchi,541,1405,4125,10,2,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,0xa6ab5ca03954e8b2bb54e9006efb8e68824271fa,3,0
5337,6823,"""6823"",",geoist,541,1493,450,4,1,0xcce9a28b570946123f392cf1dbfa6d2d5e636a1f,0xcce9a28b570946123f392cf1dbfa6d2d5e636a1f,3,0
5338,20188,"""20188"",",Raagnar,541,1493,860,5,2,0x759dc40a301c76ce49a98ae291cb145d8769f18e,0x759dc40a301c76ce49a98ae291cb145d8769f18e,3,0
5339,17850,"""17850"",",AfterShock,541,1462,1230,5,2,0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,3,0
5340,1054,"""1054"",",totona,541,1307,1350,6,1,0x638dd68ae2a2563645fcaaff2e84910aa21f9ae6,0x638dd68ae2a2563645fcaaff2e84910aa21f9ae6,3,0
5341,12489,"""12489"",",Captain AAhab,541,1380,990,5,2,0xa6e2f56836e0ee4417197dee3daf64aeb83f9547,0xa6e2f56836e0ee4417197dee3daf64aeb83f9547,3,0
5342,8745,"""8745"",",Boden,541,1216,2815,8,1,0xcc5a3762616a38a2b9c70b6efa99323fa4ad6ea4,0xcc5a3762616a38a2b9c70b6efa99323fa4ad6ea4,3,0
5343,19239,"""19239"",",COSMIC PYSCHOS,541,1185,3710,9,2,0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,0x124e64c9ed898d4a8b130f6acb76b33e21cd711c,3,0
5344,21148,"""21148"",",BAATMAN,541,1277,2360,7,2,0x384ca5e13d3dd8d41cb4e1ce2495accf995755be,0x384ca5e13d3dd8d41cb4e1ce2495accf995755be,3,0
5345,822,"""822"",",Lil Pump,541,1148,985,5,1,0xaa92ee1b8670bff3a2851fae90a16fbdbc89e018,0xaa92ee1b8670bff3a2851fae90a16fbdbc89e018,3,0
5346,10935,"""10935"",",IceFacter,541,1160,1060,5,2,0x26d01b02b1203aee5e0aa71bdba048dd8490ae3a,0x26d01b02b1203aee5e0aa71bdba048dd8490ae3a,3,0
5347,596,"""596"",",mr. white,541,1025,2420,7,1,0x0add4eccfed27fbadcbc62d8166439b596a1f1a0,0x0add4eccfed27fbadcbc62d8166439b596a1f1a0,3,0
5348,15944,"""15944"",",Hotchi,541,1021,20,1,2,0x1091232c61eee86418dc93a5c895db3490386501,0x67c6b18a003424948eb8aa2b77bc93f0cbae7383,3,0
5349,15377,"""15377"",",521brs ranker! good miner,541,1052,405,3,2,0x830437c8d234c61ae6bffbc11f2b885e6e934554,0x830437c8d234c61ae6bffbc11f2b885e6e934554,3,0
5350,17379,"""17379"",",Majin Buu,541,853,1695,6,2,0x0b4d16eef9a4af76cec09772b3f3f8e51e97d240,0x0b4d16eef9a4af76cec09772b3f3f8e51e97d240,3,0
5351,6531,"""6531"",",about:aave,541,831,130,2,1,0x602f695623a0f38ac8c54045b72cc130730221d7,0x602f695623a0f38ac8c54045b72cc130730221d7,3,0
5352,11530,"""11530"",",Captain Beesy,541,746,1330,6,2,0xedfb6cd3069fe177c1cbe63c066cae12d754d124,0xedfb6cd3069fe177c1cbe63c066cae12d754d124,3,0
5353,3936,"""3936"",",What,541,780,2220,7,1,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,0x118b427af645e5e696e6da748bd66ac8e4f5e9a8,3,0
5354,413,"""413"",",413,541,622,1450,6,1,0xdb10d21f28a34fd04e4425eac777483798f7e217,0xdb10d21f28a34fd04e4425eac777483798f7e217,3,0
5355,4334,"""4334"",",Kashaia,541,703,1880,7,1,0x26a0d17f741f5fba809e45a2ad1e68b19550fcbe,0x26a0d17f741f5fba809e45a2ad1e68b19550fcbe,3,0
5356,18574,"""18574"",",bradaframanadamada,541,620,1645,6,2,0x72f16d921915d58b55cfe75948296575f90a69b6,0x72f16d921915d58b55cfe75948296575f90a69b6,3,0
